Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),GDP deflator at market prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,Share prices,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2
1701,9656,8230,11295,9848,5.6515,0.6445,5.8,206,224,71.37,84.82,82.29,6613,5211,0.75,0.22,0.67,-13.04,41.31,1.24,4.5,4.5,0.76,5.47,5.46,11.57,0.2,0.3,17.7,19,21.5
1702,9407,8016,11004,9594,5.5057,0.6279,2.52,141,158,69.39,82.48,80.03,6657,5131,0.75,0.23,0.67,-1,43.11,1.29,4.5,4.5,0.81,5.32,5.24,11.41,0,-0.1,17.7,19.5,22.1
1703,8804,7501,10298,8979,5.1529,0.5876,-4.52,182,172,64.33,76.49,74.21,6710,5259,0.74,0.23,0.63,-5.05,45.33,1.29,4.5,4.5,0.94,5.69,5.64,11.27,0.2,0.2,17.8,21.2,24
1704,10481,8928,12260,10689,6.1345,0.6996,12.77,182,206,77.96,92.71,89.95,6740,5258,0.76,0.23,0.66,4.26,42.9,1.26,4.5,4.5,0.94,5.36,5.29,11.19,-0.2,-0.3,18.8,18.5,20.9
1705,9948,8471,11637,10146,5.8224,0.664,7.74,183,180,72.59,86.34,83.77,6754,5244,0.74,0.23,0.6,-9.18,47.09,1.26,4.5,4.5,0.81,4.88,4.77,10.96,-0.8,-0.9,19.4,20.5,23.1
1706,8424,7172,9854,8592,4.9307,0.5623,-8.41,184,157,59.7,71.02,68.91,6774,5334,0.72,0.23,0.68,13.48,41.99,1.21,4.5,4.5,0.74,4.81,4.7,10.88,-1.9,-2.7,22.8,29.1,33.1
1707,9464,8056,11071,9653,5.5396,0.6317,3.85,190,165,66.07,78.62,76.29,6804,5324,0.71,0.23,0.59,-12.87,48.17,1.18,4.5,4.5,0.8,5.27,5.21,10.67,-3.1,-4.1,25.2,29,33
1708,10074,8573,11784,10275,5.8964,0.6724,10.82,194,181,72.65,86.47,83.9,6834,5315,0.73,0.23,0.62,4.55,47.08,1.2,4.5,4.5,0.89,5.19,5.04,10.53,-2.9,-3.4,28,29.3,33.3
1709,8728,7426,10209,8901,5.1083,0.5826,-2.8,195,174,68.67,81.75,79.32,6857,5310,0.8,0.21,0.72,16.3,37.09,1.24,4.5,4.5,0.88,7.1,6.77,10.57,-4.1,-5.2,30.9,34.1,38.9
1710,7935,6750,9282,8093,4.6442,0.5296,-11.78,193,155,64.37,76.65,74.37,6883,5390,0.83,0.22,0.82,14.02,32.94,1.31,4.5,4.5,0.81,7.59,7.36,10.53,-5.9,-7.9,31.7,37.2,42.7
